,ID,Test Grades,Code Grades,Final Grades
0,0,88.375,63.18514981750275,70.74210487225191
1,1,86.44444444444444,58.77891308038369,67.07857248960191
2,2,88.0,63.28417579152873,70.69892305407011
3,3,88.5,64.9457176810118,72.01200237670825
4,4,87.94444444444444,61.28073274764452,69.2798462566845
5,5,88.125,60.72218508615567,68.94302956030896
6,6,88.88888888888891,58.93192959001782,67.91901737967915
7,7,86.60000000000002,63.647573423308714,70.5333013963161
8,8,86.5,55.625790467702245,64.88805332739157
9,9,89.66666666666669,62.713346702317295,70.79934269162212
10,10,89.06666666666666,56.499060988031594,66.26934269162211
11,11,89.0,60.20412104235635,68.84288472964944
12,12,90.2,60.74082739156268,69.57857917409387
13,13,87.5,57.082320049231825,66.20762403446227
14,14,87.7142857142857,57.26094983447925,66.39695059842117
15,15,87.3125,63.732540743570155,70.8065285204991
16,16,86.54545454545455,61.99951192598253,69.36329471182414
17,17,88.05882352941177,57.66476742212036,66.78298425430778
18,18,87.45,65.52887063916477,72.10520944741533
19,19,86.71428571428572,53.13921250318311,63.21173446651389
